[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=0 e2=NonReloc info=1 r1=0 r2=1 freereg=2 nactvar=0 line=7
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=22
[cg_emit_eq] e1=NonReloc info=5 e2=NonReloc info=6 r1=5 r2=6 freereg=7 nactvar=4 line=25
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=28
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=28
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=227 freereg=8 nactvar=7 line=32
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=8 r1=6 r2=8 freereg=9 nactvar=7 line=33
[cg_emit_eq] e1=NonReloc info=5 e2=KInt info=0 r1=5 r2=137 freereg=7 nactvar=6 line=34
[cg_emit_eq] e1=NonReloc info=5 e2=KInt info=0 r1=5 r2=137 freereg=6 nactvar=6 line=35
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=157 freereg=8 nactvar=7 line=39
[cg_emit_eq] e1=NonReloc info=8 e2=NonReloc info=9 r1=8 r2=9 freereg=10 nactvar=7 line=52
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=12 r1=14 r2=12 freereg=15 nactvar=15 line=60
[cg_emit_eq] e1=NonReloc info=15 e2=KInt info=0 r1=15 r2=129 freereg=17 nactvar=16 line=63
[cg_emit_eq] e1=NonReloc info=11 e2=KInt info=0 r1=11 r2=130 freereg=16 nactvar=15 line=67
[cg_emit_eq] e1=NonReloc info=11 e2=NonReloc info=9 r1=11 r2=9 freereg=12 nactvar=10 line=72
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=130 freereg=11 nactvar=10 line=72
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=128 freereg=10 nactvar=9 line=75
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=78
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=4 r1=1 r2=4 freereg=5 nactvar=3 line=83
[cg_emit_eq] e1=NonReloc info=11 e2=NonReloc info=12 r1=11 r2=12 freereg=13 nactvar=10 line=88
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=10 r1=13 r2=10 freereg=14 nactvar=12 line=90
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=91
[cg_emit_eq] e1=NonReloc info=13 e2=KInt info=0 r1=13 r2=130 freereg=14 nactvar=12 line=93
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=20 r1=18 r2=20 freereg=21 nactvar=19 line=130
[cg_emit_eq] e1=NonReloc info=20 e2=NonReloc info=21 r1=20 r2=21 freereg=22 nactvar=19 line=130
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=20 r1=18 r2=20 freereg=21 nactvar=19 line=130
[cg_emit_eq] e1=NonReloc info=30 e2=NonReloc info=28 r1=30 r2=28 freereg=31 nactvar=29 line=146
[cg_emit_eq] e1=NonReloc info=22 e2=KInt info=0 r1=22 r2=132 freereg=24 nactvar=23 line=149
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=156
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=14 r1=18 r2=14 freereg=19 nactvar=17 line=173
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=19 r1=18 r2=19 freereg=20 nactvar=17 line=174
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=19 r1=18 r2=19 freereg=20 nactvar=17 line=174
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=19 r1=18 r2=19 freereg=20 nactvar=17 line=175
[cg_emit_eq] e1=NonReloc info=20 e2=KInt info=0 r1=20 r2=147 freereg=21 nactvar=19 line=179
[cg_emit_eq] e1=NonReloc info=19 e2=KInt info=0 r1=19 r2=137 freereg=20 nactvar=18 line=181
[cg_emit_eq] e1=NonReloc info=16 e2=KInt info=0 r1=16 r2=147 freereg=19 nactvar=18 line=181
[cg_emit_eq] e1=NonReloc info=16 e2=KInt info=0 r1=16 r2=147 freereg=18 nactvar=17 line=183
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=137 freereg=21 nactvar=20 line=191
[cg_emit_eq] e1=NonReloc info=18 e2=KInt info=0 r1=18 r2=187 freereg=21 nactvar=20 line=191
[cg_emit_eq] e1=NonReloc info=19 e2=KInt info=0 r1=19 r2=157 freereg=21 nactvar=20 line=191
[cg_emit_eq] e1=NonReloc info=0 e2=KInt info=0 r1=0 r2=127 freereg=1 nactvar=1 line=217
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=3 r1=1 r2=3 freereg=4 nactvar=2 line=236
[cg_emit_eq] e1=NonReloc info=22 e2=KInt info=0 r1=22 r2=137 freereg=27 nactvar=26 line=240
[cg_emit_eq] e1=NonReloc info=24 e2=KInt info=0 r1=24 r2=147 freereg=27 nactvar=26 line=240
[cg_emit_eq] e1=NonReloc info=21 e2=NonReloc info=22 r1=21 r2=22 freereg=23 nactvar=20 line=243
[cg_emit_eq] e1=NonReloc info=21 e2=NonReloc info=22 r1=21 r2=22 freereg=23 nactvar=20 line=243
[cg_emit_eq] e1=NonReloc info=21 e2=NonReloc info=22 r1=21 r2=22 freereg=23 nactvar=20 line=243
[cg_emit_eq] e1=NonReloc info=21 e2=NonReloc info=22 r1=21 r2=22 freereg=23 nactvar=20 line=243
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=3 r1=1 r2=3 freereg=4 nactvar=2 line=251
[cg_emit_eq] e1=NonReloc info=20 e2=KInt info=0 r1=20 r2=227 freereg=23 nactvar=22 line=254
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=27 r1=23 r2=27 freereg=28 nactvar=26 line=263
[cg_emit_eq] e1=NonReloc info=24 e2=NonReloc info=27 r1=24 r2=27 freereg=28 nactvar=26 line=263
[cg_emit_eq] e1=NonReloc info=25 e2=KInt info=0 r1=25 r2=150 freereg=27 nactvar=26 line=263
[cg_emit_eq] e1=NonReloc info=19 e2=NonReloc info=27 r1=19 r2=27 freereg=28 nactvar=26 line=263
[cg_emit_eq] e1=NonReloc info=3 e2=NonReloc info=4 r1=3 r2=4 freereg=5 nactvar=2 line=270
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=3 r1=1 r2=3 freereg=4 nactvar=2 line=271
