[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=0 e2=NonReloc info=1 r1=0 r2=1 freereg=2 nactvar=0 line=7
[cg_emit_eq] e1=NonReloc info=3 e2=NonReloc info=4 r1=3 r2=4 freereg=5 nactvar=2 line=16
[cg_emit_eq] e1=NonReloc info=3 e2=NonReloc info=4 r1=3 r2=4 freereg=5 nactvar=2 line=18
[cg_emit_eq] e1=NonReloc info=3 e2=NonReloc info=4 r1=3 r2=4 freereg=5 nactvar=2 line=20
[cg_emit_eq] e1=NonReloc info=5 e2=NonReloc info=6 r1=5 r2=6 freereg=7 nactvar=4 line=43
[cg_emit_eq] e1=NonReloc info=5 e2=NonReloc info=6 r1=5 r2=6 freereg=7 nactvar=4 line=43
[cg_emit_eq] e1=NonReloc info=5 e2=NonReloc info=6 r1=5 r2=6 freereg=7 nactvar=4 line=44
[cg_emit_eq] e1=NonReloc info=5 e2=NonReloc info=6 r1=5 r2=6 freereg=7 nactvar=4 line=44
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=49
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=52
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=52
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=55
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=55
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=88
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=92
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=92
[cg_emit_eq] e1=NonReloc info=13 e2=KInt info=0 r1=13 r2=127 freereg=14 nactvar=12 line=95
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=96
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=97
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=99
[cg_emit_eq] e1=NonReloc info=13 e2=KInt info=0 r1=13 r2=127 freereg=14 nactvar=12 line=101
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=107
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=139
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=1 r1=15 r2=1 freereg=16 nactvar=14 line=156
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=1 r1=15 r2=1 freereg=16 nactvar=14 line=157
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=14 line=158
[cg_emit_eq] e1=NonReloc info=15 e2=KInt info=0 r1=15 r2=127 freereg=16 nactvar=14 line=159
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=14 line=160
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=14 line=161
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=14 line=162
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=23 r1=13 r2=23 freereg=24 nactvar=22 line=183
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=23 r1=14 r2=23 freereg=24 nactvar=22 line=183
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=23 r1=17 r2=23 freereg=24 nactvar=22 line=184
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=23 r1=18 r2=23 freereg=24 nactvar=22 line=184
[cg_emit_eq] e1=NonReloc info=20 e2=NonReloc info=23 r1=20 r2=23 freereg=24 nactvar=22 line=184
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=24 r1=13 r2=24 freereg=25 nactvar=23 line=188
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=24 r1=14 r2=24 freereg=25 nactvar=23 line=188
[cg_emit_eq] e1=NonReloc info=19 e2=NonReloc info=24 r1=19 r2=24 freereg=25 nactvar=23 line=188
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=24 r1=17 r2=24 freereg=25 nactvar=23 line=189
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=24 r1=18 r2=24 freereg=25 nactvar=23 line=189
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=24 r1=15 r2=24 freereg=25 nactvar=23 line=189
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=24 r1=16 r2=24 freereg=25 nactvar=23 line=189
[cg_emit_eq] e1=NonReloc info=20 e2=NonReloc info=24 r1=20 r2=24 freereg=25 nactvar=23 line=190
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=25 r1=13 r2=25 freereg=26 nactvar=24 line=195
[cg_emit_eq] e1=NonReloc info=13 e2=KInt info=0 r1=13 r2=137 freereg=14 nactvar=12 line=210
[cg_emit_eq] e1=NonReloc info=13 e2=KInt info=0 r1=13 r2=147 freereg=14 nactvar=12 line=211
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=212
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=230
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=230
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=231
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=231
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=232
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=232
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=233
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=233
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=234
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=234
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=235
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=235
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=236
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=236
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=244
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=245
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=246
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=247
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=14 r1=13 r2=14 freereg=15 nactvar=12 line=248
[cg_emit_eq] e1=NonReloc info=12 e2=KInt info=0 r1=12 r2=133 freereg=15 nactvar=14 line=261
[cg_emit_eq] e1=NonReloc info=12 e2=KInt info=0 r1=12 r2=133 freereg=15 nactvar=14 line=268
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=271
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=276
[cg_emit_eq] e1=NonReloc info=12 e2=KInt info=0 r1=12 r2=133 freereg=16 nactvar=15 line=278
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=280
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=281
[cg_emit_eq] e1=NonReloc info=19 e2=NonReloc info=21 r1=19 r2=21 freereg=22 nactvar=20 line=285
[cg_emit_eq] e1=NonReloc info=12 e2=KInt info=0 r1=12 r2=133 freereg=16 nactvar=15 line=287
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=297
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=297
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=297
[cg_emit_eq] e1=NonReloc info=19 e2=NonReloc info=20 r1=19 r2=20 freereg=21 nactvar=18 line=307
[cg_emit_eq] e1=NonReloc info=19 e2=NonReloc info=20 r1=19 r2=20 freereg=21 nactvar=18 line=307
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=310
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=311
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=312
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=313
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=315
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=317
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=318
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=319
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=321
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=322
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=323
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=324
