[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=0 e2=NonReloc info=1 r1=0 r2=1 freereg=2 nactvar=0 line=7
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=47
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=48
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=49
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=50
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=51
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=52
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=53
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=54
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=55
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=56
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=57
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=58
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=59
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=60
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=61
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=62
[cg_emit_eq] e1=NonReloc info=4 e2=KInt info=0 r1=4 r2=130 freereg=5 nactvar=3 line=65
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=67
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=130 freereg=7 nactvar=5 line=68
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=140 freereg=7 nactvar=5 line=69
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=140 freereg=7 nactvar=5 line=71
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=128 freereg=7 nactvar=5 line=73
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=128 freereg=7 nactvar=5 line=74
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=131 freereg=7 nactvar=5 line=77
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=127 freereg=7 nactvar=5 line=79
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=130 freereg=7 nactvar=5 line=80
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=137 freereg=7 nactvar=5 line=81
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=127 freereg=7 nactvar=5 line=83
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=130 freereg=7 nactvar=5 line=84
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=137 freereg=7 nactvar=5 line=85
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=224 freereg=7 nactvar=5 line=88
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=90
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=127 freereg=7 nactvar=5 line=91
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=127 freereg=7 nactvar=5 line=92
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=93
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=224 freereg=7 nactvar=5 line=94
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=137 freereg=7 nactvar=5 line=95
[cg_emit_eq] e1=NonReloc info=6 e2=KInt info=0 r1=6 r2=137 freereg=7 nactvar=5 line=96
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=97
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=98
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=99
